"TEMPERATURE.1.","TEMPERATURE.2.","TEMPERATURE.3.","TEMPERATURE.4.","TEMPERATURE.5.","TEMPERATURE.6.","TEMPERATURE.7.","TEMPERATURE.8.","TEMPERATURE.9.","TEMPERATURE.10.","TEMPERATURE.11.","TEMPERATURE.12.","TEMPERATURE.13.","TEMPERATURE.14.","TEMPERATURE.15.","TEMPERATURE.16.","TEMPERATURE.17.","TEMPERATURE.18.","TEMPERATURE.19.","TEMPERATURE.20.","TEMPERATURE.21.","TEMPERATURE.22.","TEMPERATURE.23.","TEMPERATURE.24.","TEMPERATURE.25.","TEMPERATURE.26.","TEMPERATURE.27.","TEMPERATURE.28.","TEMPERATURE.29.","TEMPERATURE.30.","TEMPERATURE.31.","TEMPERATURE.32.","TEMPERATURE.33.","TEMPERATURE.34.","TEMPERATURE.35.","TEMPERATURE.36.","TEMPERATURE.37.","TEMPERATURE.38.","TEMPERATURE.39.","TEMPERATURE.40.","TEMPERATURE.41.","TEMPERATURE.42.","TEMPERATURE.43.","TEMPERATURE.44.","TEMPERATURE.45.","TEMPERATURE.46.","TEMPERATURE.47.","TEMPERATURE.48.","TEMPERATURE.49.","TEMPERATURE.50."
"11",6.5522584,6.5567237,6.5589799,6.5604912,6.5616238,6.5625259,6.5632727,6.5639072,6.564457,6.5649402,6.5653699,6.5657555,6.566104,6.5664209,6.5667105,6.5669764,6.5672213,6.5674474,6.5676568,6.5678511,6.5680316,6.5681994,6.5683557,6.5685013,6.568637,6.5687634,6.568891,6.5690199,6.5691501,6.5692817,6.5694149,6.5695498,6.5696865,6.569825,6.5699656,6.5701085,6.5702538,6.5704017,6.5705526,6.5707067,6.5708645,6.5710262,6.5711926,6.5713643,6.5715423,6.5717278,6.5719229,6.5721306,6.5723575,6.5726232
"12",6.3712524,6.3769365,6.3796879,6.3814776,6.38279,6.3838177,6.3846567,6.3853616,6.3859664,6.3864935,6.3869587,6.3873733,6.387746,6.3880831,6.3883897,6.3886699,6.388927,6.3891637,6.389382,6.389584,6.3897711,6.3899448,6.3901061,6.3902563,6.3903965,6.3905275,6.3906582,6.3907903,6.3909234,6.3910576,6.3911932,6.3913303,6.3914689,6.3916093,6.3917515,6.3918957,6.3920422,6.392191,6.3923424,6.3924968,6.3926543,6.3928154,6.3929806,6.3931503,6.3933253,6.3935067,6.3936957,6.3938946,6.3941078,6.3943481
"13",6.0472974,6.0527702,6.0555368,6.0573881,6.0587757,6.0598818,6.0607985,6.0615788,6.0622559,6.0628522,6.0633834,6.0638609,6.0642932,6.0646871,6.0650477,6.0653791,6.0656849,6.0659677,6.0662299,6.0664734,6.0666999,6.0669108,6.0671074,6.0672906,6.0674618,6.0676211,6.0677823,6.067945,6.0681092,6.0682752,6.0684432,6.0686132,6.0687854,6.0689599,6.0691369,6.0693164,6.0694987,6.069684,6.0698725,6.0700644,6.0702601,6.0704597,6.0706638,6.0708726,6.0710868,6.0713068,6.0715334,6.0717676,6.0720111,6.0722687
"14",5.5913802,5.5974169,5.600497,5.6025742,5.6041401,5.6053939,5.6064363,5.6073259,5.6080992,5.6087813,5.6093894,5.6099365,5.6104322,5.6108838,5.6112974,5.6116776,5.6120283,5.6123527,5.6126533,5.6129325,5.6131921,5.6134338,5.6136589,5.6138688,5.6140643,5.6142466,5.6144307,5.6146165,5.6148044,5.6149943,5.6151863,5.6153807,5.6155775,5.6157769,5.6159791,5.6161843,5.6163927,5.6166044,5.6168199,5.6170395,5.6172634,5.6174921,5.6177262,5.6179662,5.6182129,5.6184674,5.618731,5.619006,5.619297,5.6196187
"15",5.3332399,5.3370881,5.3390155,5.3402986,5.3412553,5.342014,5.3426396,5.3431695,5.3436271,5.3440283,5.3443841,5.3447026,5.3449899,5.3452507,5.3454886,5.3457066,5.3459071,5.346092,5.346263,5.3464214,5.3465684,5.346705,5.3468321,5.3469503,5.3470604,5.3471629,5.3472663,5.3473706,5.3474759,5.3475822,5.3476898,5.3477985,5.3479086,5.3480201,5.3481331,5.3482477,5.3483641,5.3484824,5.3486028,5.3487254,5.3488506,5.3489785,5.3491094,5.3492438,5.3493822,5.3495251,5.3496735,5.349829,5.3499943,5.3501782
"16",5.2001994,5.2039802,5.2059102,5.2072123,5.208194,5.20898,5.2096333,5.2101906,5.210675,5.211102,5.2114827,5.211825,5.212135,5.2124175,5.2126761,5.2129138,5.213133,5.2133358,5.2135237,5.2136983,5.2138606,5.2140117,5.2141525,5.2142837,5.214406,5.21452,5.2146352,5.2147515,5.2148691,5.2149881,5.2151084,5.2152303,5.2153538,5.215479,5.215606,5.2157351,5.2158663,5.2159999,5.2161361,5.2162751,5.2164172,5.2165628,5.2167123,5.2168663,5.2170255,5.2171908,5.2173637,5.2175463,5.2177429,5.2179657
"17",4.9644759,4.9688447,4.9710141,4.9724577,4.9735359,4.9743927,4.9751008,4.9757019,4.9762222,4.9766792,4.9770853,4.9774496,4.9777787,4.9780779,4.9783513,4.9786022,4.9788333,4.9790466,4.9792442,4.9794274,4.9795976,4.9797559,4.9799032,4.9800405,4.9801683,4.9802874,4.9804076,4.9805289,4.9806515,4.9807753,4.9809006,4.9810273,4.9811557,4.9812858,4.9814177,4.9815516,4.9816876,4.9818259,4.9819668,4.9821104,4.9822571,4.9824071,4.9825609,4.982719,4.9828819,4.9830505,4.9832261,4.9834105,4.9836073,4.9838279
"18",4.8203124,4.8235988,4.8252324,4.8263199,4.827132,4.8277772,4.8283101,4.8287624,4.8291536,4.8294971,4.8298022,4.8300758,4.8303228,4.8305474,4.8307524,4.8309406,4.8311138,4.8312737,4.8314217,4.8315589,4.8316864,4.8318049,4.8319152,4.8320179,4.8321136,4.8322027,4.8322925,4.8323833,4.8324749,4.8325675,4.8326611,4.8327557,4.8328516,4.8329487,4.8330472,4.833147,4.8332485,4.8333516,4.8334565,4.8335633,4.8336723,4.8337836,4.8338976,4.8340144,4.8341344,4.8342582,4.8343862,4.8345195,4.8346597,4.8348122
"19",4.6967219,4.6992606,4.7004994,4.7013164,4.7019216,4.7023987,4.70279,4.7031196,4.7034028,4.7036499,4.7038681,4.7040625,4.7042372,4.7043951,4.7045386,4.7046697,4.7047899,4.7049004,4.7050023,4.7050964,4.7051836,4.7052643,4.7053393,4.7054089,4.7054736,4.7055337,4.7055941,4.7056551,4.7057164,4.7057784,4.7058408,4.7059039,4.7059676,4.7060321,4.7060973,4.7061633,4.7062302,4.7062981,4.706367,4.706437,4.7065082,4.7065809,4.706655,4.7067308,4.7068085,4.7068884,4.706971,4.7070569,4.7071477,4.7072482
"20",4.6492568,4.65061,4.6512408,4.6516489,4.6519403,4.6521612,4.6523365,4.6524801,4.6526004,4.6527029,4.6527913,4.6528684,4.6529362,4.6529964,4.65305,4.6530982,4.6531416,4.6531809,4.6532167,4.6532494,4.6532792,4.6533066,4.6533318,4.653355,4.6533764,4.6533962,4.6534164,4.6534372,4.6534586,4.6534804,4.6535029,4.6535259,4.6535496,4.6535738,4.6535987,4.6536242,4.6536504,4.6536772,4.6537048,4.6537331,4.6537622,4.6537922,4.6538233,4.6538554,4.6538889,4.6539241,4.6539612,4.6540013,4.6540461,4.6541022
